"module name","licenses","repository","licenseUrl","parents"
"@ant-design/charts@0.9.9","MIT*","https://github.com/ant-design/ant-design-charts","https://github.com/ant-design/ant-design-charts/raw/master/README.md","rue03"
"@ant-design/icons@4.6.2","MIT","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react/raw/master/LICENSE","rue03"
"@antv/data-set@0.11.4","MIT","https://github.com/antvis/data-set","https://github.com/antvis/data-set/raw/master/LICENSE","rue03"
"@aws-amplify/ui-react@1.0.6","UNKNOWN","https://github.com/aws-amplify/amplify-js","https://github.com/aws-amplify/amplify-js/raw/master/LICENSE","rue03"
"@craco/craco@5.6.4","Apache-2.0","https://github.com/gsoft-inc/craco","https://github.com/gsoft-inc/craco/raw/master/LICENSE","rue03"
"@doodle3d/clipper-js@1.0.11","MIT","https://github.com/Doodle3D/clipper-js","https://github.com/Doodle3D/clipper-js/raw/master/LICENSE","rue03"
"@formulajs/formulajs@2.4.3","MIT","https://github.com/formulajs/formulajs","https://github.com/formulajs/formulajs/raw/master/LICENSE","rue03"
"@loadable/component@5.13.1","MIT","https://github.com/gregberge/loadable-components","https://github.com/gregberge/loadable-components/raw/master/LICENSE","rue03"
"@testing-library/jest-dom@4.2.4","MIT","https://github.com/testing-library/jest-dom","https://github.com/testing-library/jest-dom/raw/master/LICENSE","rue03"
"@testing-library/react@9.3.2","MIT","https://github.com/testing-library/react-testing-library","https://github.com/testing-library/react-testing-library/raw/master/LICENSE","rue03"
"@testing-library/user-event@7.1.2","MIT","https://github.com/testing-library/user-event","https://github.com/testing-library/user-event/raw/master/LICENSE","rue03"
"@types/chroma-js@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/cytoscape@3.14.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/d3-delaunay@5.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/d3-polygon@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/d3-voronoi@1.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/jest@24.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/mathjs@6.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/node@14.11.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/react-csv@1.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/react-dom@16.9.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/react-router-dom@5.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/react@17.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/styled-components@5.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/underscore@1.10.24","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"antd@4.6.5","MIT","https://github.com/ant-design/ant-design","https://github.com/ant-design/ant-design/raw/master/LICENSE","rue03"
"aws-amplify@3.3.26","Apache-2.0","https://github.com/aws-amplify/amplify-js","https://github.com/aws-amplify/amplify-js/raw/master/LICENSE","rue03"
"babel-plugin-import@1.13.0","MIT","https://github.com/ant-design/babel-plugin-import","https://github.com/ant-design/babel-plugin-import","rue03"
"bizcharts@4.0.11","MIT","https://github.com/alibaba/BizCharts","https://github.com/alibaba/BizCharts","rue03"
"chroma-js@2.1.0","(BSD-3-Clause AND Apache-2.0)","https://github.com/gka/chroma.js","https://github.com/gka/chroma.js/raw/master/LICENSE","rue03"
"compare-versions@3.6.0","MIT","https://github.com/omichelsen/compare-versions","https://github.com/omichelsen/compare-versions/raw/master/LICENSE","rue03"
"craco-less@1.17.0","MIT","https://github.com/FormAPI/craco-less","https://github.com/FormAPI/craco-less/raw/master/LICENSE","rue03"
"cytoscape@3.16.2","MIT","https://github.com/cytoscape/cytoscape.js","https://github.com/cytoscape/cytoscape.js/raw/master/LICENSE","rue03"
"d3-delaunay@5.3.0","ISC","https://github.com/d3/d3-delaunay","https://github.com/d3/d3-delaunay/raw/master/LICENSE","rue03"
"d3-polygon@2.0.0","BSD-3-Clause","https://github.com/d3/d3-polygon","https://github.com/d3/d3-polygon/raw/master/LICENSE","rue03"
"d3-voronoi@1.1.4","BSD-3-Clause","https://github.com/d3/d3-voronoi","https://github.com/d3/d3-voronoi/raw/master/LICENSE","rue03"
"file-saver@2.0.2","MIT","https://github.com/eligrey/FileSaver.js","https://github.com/eligrey/FileSaver.js/raw/master/LICENSE.md","rue03"
"jszip@3.5.0","(MIT OR GPL-3.0)","https://github.com/Stuk/jszip","https://github.com/Stuk/jszip/raw/master/LICENSE.markdown","rue03"
"less-loader@6.2.0","MIT","https://github.com/webpack-contrib/less-loader","https://github.com/webpack-contrib/less-loader/raw/master/LICENSE","rue03"
"less@3.12.2","Apache-2.0","https://github.com/less/less.js","https://github.com/less/less.js/raw/master/LICENSE","rue03"
"mathjs@7.5.1","Apache-2.0","https://github.com/josdejong/mathjs","https://github.com/josdejong/mathjs/raw/master/LICENSE","rue03"
"memfs@3.2.0","UNKNOWN","https://github.com/streamich/memfs","https://github.com/streamich/memfs/raw/master/LICENSE","rue03"
"mobx-react@6.3.1","MIT","https://github.com/mobxjs/mobx-react","https://github.com/mobxjs/mobx-react/raw/master/LICENSE","rue03"
"mobx@5.15.4","MIT","https://github.com/mobxjs/mobx","https://github.com/mobxjs/mobx/raw/master/LICENSE","rue03"
"numbro@2.3.1","MIT","https://github.com/BenjaminVanRyseghem/numbro","https://github.com/BenjaminVanRyseghem/numbro/raw/master/COPYING","rue03"
"proj4@2.6.2","MIT","https://github.com/proj4js/proj4js","https://github.com/proj4js/proj4js/raw/master/LICENSE.md","rue03"
"react-csv@2.0.3","MIT","https://github.com/react-csv/react-csv","https://github.com/react-csv/react-csv/raw/master/LICENSE.txt","rue03"
"react-dom@16.13.1","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","rue03"
"react-idle-timer@4.3.6","MIT","https://github.com/supremetechnopriest/react-idle-timer","https://github.com/supremetechnopriest/react-idle-timer/raw/master/LICENSE","rue03"
"react-perfect-scrollbar@1.5.8","MIT","https://github.com/goldenyz/react-perfect-scrollbar","https://github.com/goldenyz/react-perfect-scrollbar/raw/master/LICENSE","rue03"
"react-router-dom@5.2.0","MIT","https://github.com/ReactTraining/react-router","https://github.com/ReactTraining/react-router/raw/master/LICENSE","rue03"
"react-router@5.2.0","MIT","https://github.com/ReactTraining/react-router","https://github.com/ReactTraining/react-router/raw/master/LICENSE","rue03"
"react-scripts@3.4.1","MIT","https://github.com/facebook/create-react-app","https://github.com/facebook/create-react-app/raw/master/LICENSE","rue03"
"react@16.13.1","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","rue03"
"styled-components@5.1.1","MIT","https://github.com/styled-components/styled-components","https://github.com/styled-components/styled-components","rue03"
"three@0.121.1","MIT","https://github.com/mrdoob/three.js","https://github.com/mrdoob/three.js/raw/master/LICENSE","rue03"
"typescript@4.2.4","Apache-2.0","https://github.com/Microsoft/TypeScript","https://github.com/Microsoft/TypeScript/raw/master/LICENSE.txt","rue03"
"underscore@1.11.0","MIT","https://github.com/jashkenas/underscore","https://github.com/jashkenas/underscore/raw/master/LICENSE","rue03"